,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,set
53,No Se Va,Grupo Frontera,0.594,0.527,0,-9.335,1,0.0335,0.121,0.0,0.234,0.692,172.712,audio_features,5JhUm1v5AbI5Yu6jLKCPRO,spotify:track:5JhUm1v5AbI5Yu6jLKCPRO,https://api.spotify.com/v1/tracks/5JhUm1v5AbI5Yu6jLKCPRO,https://api.spotify.com/v1/audio-analysis/5JhUm1v5AbI5Yu6jLKCPRO,194019,4,H
54,The Great War,Taylor Swift,0.573,0.741,5,-8.987,1,0.0353,0.219,2.23e-05,0.0842,0.554,96.016,audio_features,3UMrglJeju5yWyYIW6o99b,spotify:track:3UMrglJeju5yWyYIW6o99b,https://api.spotify.com/v1/tracks/3UMrglJeju5yWyYIW6o99b,https://api.spotify.com/v1/audio-analysis/3UMrglJeju5yWyYIW6o99b,240356,4,H
55,Billie Eilish.,Armani White,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,audio_features,27ZZdyTSQWI7Cug2d2PkqV,spotify:track:27ZZdyTSQWI7Cug2d2PkqV,https://api.spotify.com/v1/tracks/27ZZdyTSQWI7Cug2d2PkqV,https://api.spotify.com/v1/audio-analysis/27ZZdyTSQWI7Cug2d2PkqV,99283,4,H
56,Paris,Taylor Swift,0.7,0.509,7,-10.547,1,0.0789,0.112,3.27e-05,0.137,0.345,110.947,audio_features,7712gjoih4QoDbXpljEk21,spotify:track:7712gjoih4QoDbXpljEk21,https://api.spotify.com/v1/tracks/7712gjoih4QoDbXpljEk21,https://api.spotify.com/v1/audio-analysis/7712gjoih4QoDbXpljEk21,196259,4,H
57,Whiskey On You,Nate Smith,0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,audio_features,6Tm4Io4ct4w14nB1EUzsY3,spotify:track:6Tm4Io4ct4w14nB1EUzsY3,https://api.spotify.com/v1/tracks/6Tm4Io4ct4w14nB1EUzsY3,https://api.spotify.com/v1/audio-analysis/6Tm4Io4ct4w14nB1EUzsY3,183790,4,H
58,All Mine,Brent Faiyaz,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,0.22,141.967,audio_features,3XgGQ1wjo5khvq2UImjyNF,spotify:track:3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/tracks/3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/audio-analysis/3XgGQ1wjo5khvq2UImjyNF,216063,4,H
59,Hotel Lobby (Unc And Phew),Quavo & Takeoff,0.821,0.636,11,-4.479,1,0.169,0.142,0.0,0.233,0.163,127.961,audio_features,0QNNd0qMCDbraS1nQPg3aA,spotify:track:0QNNd0qMCDbraS1nQPg3aA,https://api.spotify.com/v1/tracks/0QNNd0qMCDbraS1nQPg3aA,https://api.spotify.com/v1/audio-analysis/0QNNd0qMCDbraS1nQPg3aA,142657,4,H
60,High Infidelity,Taylor Swift,0.646,0.529,10,-10.179,1,0.0864,0.723,0.0,0.0885,0.755,87.862,audio_features,5kiZGSxgqPdv6rbqL9THdd,spotify:track:5kiZGSxgqPdv6rbqL9THdd,https://api.spotify.com/v1/tracks/5kiZGSxgqPdv6rbqL9THdd,https://api.spotify.com/v1/audio-analysis/5kiZGSxgqPdv6rbqL9THdd,231475,4,H
61,2 Be Loved (Am I Ready),Lizzo,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,audio_features,2rmwqU7yzTvzkiaRV53DpT,spotify:track:2rmwqU7yzTvzkiaRV53DpT,https://api.spotify.com/v1/tracks/2rmwqU7yzTvzkiaRV53DpT,https://api.spotify.com/v1/audio-analysis/2rmwqU7yzTvzkiaRV53DpT,187108,4,H
62,Real Spill,Lil Baby,0.776,0.557,2,-7.441,1,0.545,0.0496,0.0,0.112,0.284,156.978,audio_features,4OkFBMU18NidtaefaTjUq1,spotify:track:4OkFBMU18NidtaefaTjUq1,https://api.spotify.com/v1/tracks/4OkFBMU18NidtaefaTjUq1,https://api.spotify.com/v1/audio-analysis/4OkFBMU18NidtaefaTjUq1,198722,4,H
63,Last Last,Burna Boy,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,audio_features,5YbPxJwPfrj7uswNwoF1pJ,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,https://api.spotify.com/v1/tracks/5YbPxJwPfrj7uswNwoF1pJ,https://api.spotify.com/v1/audio-analysis/5YbPxJwPfrj7uswNwoF1pJ,172342,4,H
64,Glitch,Taylor Swift,0.675,0.466,11,-9.738,0,0.201,0.361,0.0,0.11,0.347,140.864,audio_features,6wAFvJPpTZVirBKGZ4EnMW,spotify:track:6wAFvJPpTZVirBKGZ4EnMW,https://api.spotify.com/v1/tracks/6wAFvJPpTZVirBKGZ4EnMW,https://api.spotify.com/v1/audio-analysis/6wAFvJPpTZVirBKGZ4EnMW,148781,4,H
65,Freestyle,Lil Baby,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,audio_features,5BbdKBZO0TH0GhfxUfyhL9,spotify:track:5BbdKBZO0TH0GhfxUfyhL9,https://api.spotify.com/v1/tracks/5BbdKBZO0TH0GhfxUfyhL9,https://api.spotify.com/v1/audio-analysis/5BbdKBZO0TH0GhfxUfyhL9,162053,4,H
66,Stand On It,Lil Baby,0.728,0.496,11,-7.298,0,0.127,0.0325,0.0,0.0916,0.214,86.468,audio_features,26Hgx0810XUis01XWvoftB,spotify:track:26Hgx0810XUis01XWvoftB,https://api.spotify.com/v1/tracks/26Hgx0810XUis01XWvoftB,https://api.spotify.com/v1/audio-analysis/26Hgx0810XUis01XWvoftB,166889,4,H
